# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lewontin_cohen_multivariate_model
# start_datetime = 2025-05-03 17:42:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/alrob/AppData/Local/Temp/RtmpyQxtE2/standata-5ae858891b43.json
# init = C:/Users/alrob/AppData/Local/Temp/RtmpyQxtE2/init-5ae8565166e3_1.json
# random
#   seed = 1790079858
# output
#   file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-202505031242-1-527a60.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-profile-202505031242-1-079d2d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lewontin_cohen_multivariate_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigl.1,sigl.2,sigr.1,sigr.2,L.1.1,L.2.1,L.1.2,L.2.2,c,pd
# Adaptation terminated
# Step size = 6.37327e-05
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-74.0539,0.560093,6.37327e-05,10,1023,0,76.3142,11.8081,4.62655,0.946782,1.74096,5.31315,6.17182,1,0.379206,0,0.925312,-2.34839,0.832545
-73.7796,0.980761,6.37327e-05,10,1023,0,78.0853,11.7823,4.61287,0.94995,1.74893,5.43519,5.78762,1,0.419412,0,0.907796,-2.34972,0.833823
-73.8989,0.676349,6.37327e-05,10,1023,0,76.1844,11.7753,4.60698,0.950231,1.76077,5.46482,5.75905,1,0.421819,0,0.90668,-2.3506,0.833895
-74.4253,0.925353,6.37327e-05,10,1023,0,75.8618,11.7655,4.60025,0.938044,1.7341,5.55851,5.77672,1,0.423634,0,0.905833,-2.35734,0.83027
-74.5184,0.544701,6.37327e-05,10,1023,0,79.3747,11.7714,4.59393,0.939624,1.73135,5.5339,5.7661,1,0.416955,0,0.908927,-2.35495,0.830138
-75.195,0.974568,6.37327e-05,10,1023,0,77.3425,11.7832,4.57296,0.928783,1.70017,5.69029,5.72817,1,0.427223,0,0.904146,-2.36433,0.829725
-73.6434,0.993315,6.37327e-05,10,1023,0,76.3678,11.8185,4.59437,0.89765,1.72206,5.42597,5.53772,1,0.443586,0,0.896232,-2.37019,0.82512
-74.4075,0.473917,6.37327e-05,10,1023,0,82.5767,11.7912,4.60049,0.900592,1.7058,5.53648,5.61317,1,0.406052,0,0.91385,-2.36199,0.816359
-74.1091,0.868732,6.37327e-05,10,1023,0,78.7435,11.8014,4.57504,0.869591,1.64864,5.66601,5.61044,1,0.389873,0,0.920868,-2.39246,0.813264
-75.1856,0.945676,6.37327e-05,10,1023,0,80.7739,11.882,4.5982,0.885332,1.75697,5.75382,5.78644,1,0.281771,0,0.959482,-2.34267,0.809421
-75.2347,0.891329,6.37327e-05,10,1023,0,76.5544,11.882,4.57754,0.871858,1.69312,5.79702,5.657,1,0.27802,0,0.960575,-2.33633,0.809486
-75.9916,0.993543,6.37327e-05,10,1023,0,79.9509,11.8886,4.61662,0.849423,1.63066,5.97207,5.88206,1,0.293366,0,0.956,-2.35857,0.811219
-75.1291,0.855311,6.37327e-05,10,1023,0,79.372,11.8915,4.62425,0.862671,1.60917,5.86352,5.86438,1,0.306473,0,0.951879,-2.37393,0.812669
