# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lewontin_cohen_multivariate_model
# start_datetime = 2025-05-03 17:56:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/alrob/AppData/Local/Temp/Rtmp2XZhrf/standata-5a18189ce07.json
# init = C:/Users/alrob/AppData/Local/Temp/Rtmp2XZhrf/init-5a185cf04ea5_1.json
# random
#   seed = 512803685
# output
#   file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-202505031256-1-2323f2.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-profile-202505031256-1-4ec710.csv
#   save_cmdstan_config = false (Default)
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lewontin_cohen_multivariate_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigl.1,sigl.2,sigr.1,sigr.2,L.1.1,L.2.1,L.1.2,L.2.2,c,pd
# Adaptation terminated
# Step size = 4.01176e-05
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-100.496,0.689207,4.01176e-05,10,1023,0,106.234,11.9102,4.83422,0.238608,1.2584,6.59293,3.89183,1,0.51144,0,0.859319,-0.581103,0.89575
-99.2294,0.925133,4.01176e-05,10,1023,0,102,11.9163,4.82698,0.240337,1.25563,6.67724,3.93129,1,0.495631,0,0.868533,-0.595748,0.892121
-99.4081,0.789857,4.01176e-05,10,1023,0,103.966,11.8945,4.81647,0.239565,1.20094,6.7614,3.9299,1,0.504848,0,0.863208,-0.595006,0.89255
-101.911,0.980829,4.01176e-05,10,1023,0,103.743,11.9,4.81422,0.241378,1.23142,6.53864,3.83452,1,0.50726,0,0.861793,-0.551189,0.893028
-101.449,0.99844,4.01176e-05,10,1023,0,105.361,11.9196,4.83631,0.239899,1.23393,6.37101,3.83096,1,0.48289,0,0.875681,-0.578162,0.890333
-102.167,0.944326,4.01176e-05,10,1023,0,106.051,11.9681,4.82197,0.234455,1.24446,6.41124,3.89837,1,0.477191,0,0.8788,-0.524972,0.887845
-103.302,0.653323,4.01176e-05,10,1023,0,107.604,11.9619,4.82422,0.234469,1.24979,6.3753,3.85923,1,0.483009,0,0.875616,-0.519111,0.885451
-102.175,0.907483,4.01176e-05,10,1023,0,105.397,11.9696,4.79412,0.236182,1.22705,6.45467,3.94992,1,0.48312,0,0.875554,-0.52017,0.885062
-102.327,0.720044,4.01176e-05,10,1023,0,107.591,11.9592,4.79382,0.234609,1.2315,6.43869,3.93335,1,0.48009,0,0.877219,-0.519469,0.885504
-101.202,0.983577,4.01176e-05,10,1023,0,106.998,11.9516,4.79895,0.232058,1.24076,6.44191,4.00527,1,0.468551,0,0.883436,-0.522939,0.884251
-100.03,0.524105,4.01176e-05,10,1023,0,106.428,11.909,4.80334,0.216456,1.26076,6.54374,4.14898,1,0.480221,0,0.877148,-0.543586,0.884267
-100.134,0.98841,4.01176e-05,10,1023,0,102.023,11.8931,4.84107,0.216104,1.27027,6.39577,4.12516,1,0.477211,0,0.878789,-0.559087,0.884811
-99.2791,0.770521,4.01176e-05,10,1023,0,107.117,11.8896,4.84762,0.214361,1.264,6.42076,4.19321,1,0.455337,0,0.890319,-0.556002,0.884507
-99.4915,0.75261,4.01176e-05,10,1023,0,104.999,11.8787,4.86281,0.215341,1.26409,6.38847,4.18523,1,0.438729,0,0.89862,-0.536512,0.886167
-98.8292,0.632225,4.01176e-05,10,1023,0,103.245,11.8668,4.86848,0.213844,1.28374,6.44743,4.16521,1,0.427729,0,0.903907,-0.551084,0.888124
-99.3583,0.956012,4.01176e-05,10,1023,0,100.655,11.8817,4.86962,0.207917,1.27247,6.47863,4.15921,1,0.441356,0,0.897332,-0.527377,0.885906
-97.9313,0.999314,4.01176e-05,10,1023,0,102.058,11.8924,4.88292,0.198606,1.25942,6.83214,4.20385,1,0.434387,0,0.900726,-0.54504,0.888215
-97.5756,0.943149,4.01176e-05,10,1023,0,101.222,11.8751,4.93432,0.19683,1.21184,7.11321,4.16936,1,0.467539,0,0.883972,-0.54675,0.889744
-96.8352,0.766166,4.01176e-05,10,1023,0,101.228,11.8624,4.95298,0.197489,1.21292,7.03701,4.17687,1,0.479841,0,0.877356,-0.572842,0.888806
-95.7565,0.213662,4.01176e-05,10,1023,0,109.673,11.865,4.98913,0.202054,1.21408,6.89528,4.43884,1,0.483288,0,0.875461,-0.612488,0.886977
-95.3207,0.867622,4.01176e-05,10,1023,0,100.405,11.9008,5.02697,0.202853,1.22694,6.92193,4.56173,1,0.482058,0,0.876139,-0.604193,0.886474
