# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lewontin_cohen_multivariate_model
# start_datetime = 2025-05-03 18:05:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/alrob/AppData/Local/Temp/Rtmp2XZhrf/standata-5a1868a04b5e.json
# init = C:/Users/alrob/AppData/Local/Temp/Rtmp2XZhrf/init-5a1853e2378d_1.json
# random
#   seed = 1922468731
# output
#   file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-202505031305-1-709b6c.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-profile-202505031305-1-198964.csv
#   save_cmdstan_config = false (Default)
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lewontin_cohen_multivariate_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigl.1,sigl.2,sigr.1,sigr.2,L.1.1,L.2.1,L.1.2,L.2.2,c,pd
# Adaptation terminated
# Step size = 3.1373e-07
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-1039.49,0.614988,3.1373e-07,10,1023,0,1045.68,13.9812,3.84733,0.355701,0.743585,2.60097,1.71934,1,0.584679,0,0.811265,-0.0268652,0.899159
-1039.07,0.999999,3.1373e-07,10,1023,0,1043.83,13.9807,3.84723,0.355579,0.74351,2.60152,1.71898,1,0.584465,0,0.811419,-0.0271656,0.899166
-1040.33,0.314903,3.1373e-07,10,1023,0,1048.85,13.9808,3.84709,0.355545,0.743502,2.60165,1.71887,1,0.584471,0,0.811415,-0.0272087,0.899154
-1039.49,0.593877,3.1373e-07,10,1023,0,1041.08,13.9806,3.84722,0.355455,0.743705,2.60178,1.71893,1,0.584488,0,0.811403,-0.0272044,0.899148
-1039.2,0.589918,3.1373e-07,10,1023,0,1047.82,13.9804,3.8471,0.355433,0.743603,2.60162,1.71865,1,0.584534,0,0.811369,-0.027,0.899166
-1038.9,1,3.1373e-07,10,1023,0,1044.08,13.9798,3.84715,0.355567,0.743768,2.60189,1.71895,1,0.584457,0,0.811425,-0.0270801,0.899184
-1037.96,0.999869,3.1373e-07,10,1023,0,1045.67,13.9794,3.84712,0.355545,0.74367,2.60278,1.71876,1,0.584758,0,0.811208,-0.0275364,0.899155
-1037.56,0.88898,3.1373e-07,10,1023,0,1040.28,13.9792,3.84698,0.355524,0.743668,2.60288,1.71837,1,0.584718,0,0.811236,-0.0275568,0.899174
-1037.48,0.517936,3.1373e-07,10,1023,0,1040.58,13.9792,3.84693,0.355504,0.743654,2.60299,1.7184,1,0.584782,0,0.81119,-0.0276505,0.899176
-1039.83,0.242807,3.1373e-07,10,1023,0,1047.05,13.979,3.84714,0.355503,0.743526,2.60301,1.71886,1,0.584707,0,0.811244,-0.027319,0.899167
-1038.52,0.617874,3.1373e-07,10,1023,0,1043.58,13.979,3.84727,0.355472,0.74358,2.60288,1.71908,1,0.584569,0,0.811344,-0.0273586,0.899185
-1037.7,0.327654,3.1373e-07,10,1023,0,1041.8,13.9792,3.84721,0.355503,0.743612,2.60304,1.71912,1,0.584668,0,0.811273,-0.0276398,0.899187
-1039.91,0.999948,3.1373e-07,10,1023,0,1044.64,13.9793,3.84743,0.355606,0.743499,2.60246,1.71895,1,0.584707,0,0.811244,-0.0276402,0.899189
-1037.46,0.580737,3.1373e-07,10,1023,0,1042.8,13.9794,3.84729,0.355832,0.743762,2.60185,1.71839,1,0.584776,0,0.811195,-0.0277597,0.899212
-1039.82,0.660892,3.1373e-07,10,1023,0,1043.48,13.9795,3.84732,0.355804,0.743692,2.60163,1.71817,1,0.584819,0,0.811164,-0.0277319,0.899193
-1040.95,0.886748,3.1373e-07,10,1023,0,1042.54,13.9795,3.8472,0.355826,0.743646,2.60134,1.71848,1,0.584772,0,0.811197,-0.027823,0.899184
